Season,Episode,Viewers (millions),Ratings
1,1,2.22,9.0
1,2,2.2,8.8
1,3,2.44,8.7
1,4,2.45,8.8
1,5,2.58,9.1
1,6,2.44,9.2
1,7,2.4,9.3
1,8,2.72,9.1
1,9,2.66,9.6
1,10,3.04,9.5
2,1,3.86,8.9
2,2,3.76,8.6
2,3,3.77,8.9
2,4,3.65,8.9
2,5,3.9,8.9
2,6,3.88,9.1
2,7,3.69,9.0
2,8,3.86,8.9
2,9,3.38,9.7
2,10,4.2,9.4
3,1,4.37,8.9
3,2,4.27,8.6
3,3,4.72,8.9
3,4,4.87,9.6
3,5,5.35,9.0
3,6,5.5,8.9
3,7,4.84,8.8
3,8,5.13,9.0
3,9,5.22,9.9
3,10,5.39,9.2
4,1,6.64,9.1
4,2,6.31,9.7
4,3,6.59,8.9
4,4,6.95,8.9
4,5,7.16,8.8
4,6,6.4,9.7
4,7,7.2,9.2
4,8,7.17,9.7
4,9,6.95,9.6
4,10,7.09,9.7
5,1,8,8.6
5,2,6.81,8.6
5,3,6.71,8.6
5,4,6.82,8.8
5,5,6.56,8.7
5,6,6.24,8.1
5,7,5.4,9.1
5,8,7.01,9.9
5,9,7.14,9.5
5,10,8.11,9.0
6,1,7.94,8.6
6,2,7.29,9.5
6,3,7.28,8.8
6,4,7.82,9.2
6,5,7.89,9.7
6,6,6.71,8.5
6,7,7.8,8.6
6,8,7.6,8.4
6,9,7.66,9.9
6,10,8.89,9.9
7,1,10.11,8.7
7,2,9.27,9.0
7,3,9.25,9.3
7,4,10.17,9.8
7,5,10.72,9.0
7,6,10.24,9.2
7,7,12.07,9.6